Month_Yr,State,Year,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2009-04,Idaho,2009,7.65,25,23,24,0.0075,0.008,22,7,0.1166665,0.44999999999999996,17,0,0.178875,0.269,3,1
2009-05,Idaho,2009,6.700948774193549,24.451612903225808,13.935483870967742,23.096774193548388,0.034231709677419356,0.05187096774193548,11.451612903225806,45.096774193548384,0.2625865483870968,1.1241935483870968,11.451612903225806,0.6129032258064516,0.10114025806451613,0.16312903225806452,6.483870967741935,0.7258064516129032
2009-06,Idaho,2009,5.444965695652174,19.652173913043477,14.434782608695652,18.652173913043477,0.034925739130434785,0.05008695652173913,10.91304347826087,43.34782608695652,0.20687560869565216,0.9521739130434783,12.152173913043478,0.391304347826087,0.12848839130434783,0.21267391304347827,8.869565217391305,0.8695652173913043
2009-07,Idaho,2009,6.7556501578947366,25.526315789473685,15.526315789473685,24.157894736842106,0.03450447368421053,0.053263157894736846,10.578947368421053,48.10526315789474,0.17603584210526316,1.1210526315789473,14.052631578947368,0.6842105263157895,0.22154834210526317,0.41376315789473683,11.657894736842104,1.9736842105263157
2010-01,Idaho,2010,10.391369,21.634615384615383,13.51923076923077,20.384615384615383,0.01867496153846154,0.026442307692307692,10.923076923076923,22.442307692307693,0.043060442307692307,0.19423076923076923,12.788461538461538,0.019230769230769232,0.19561889423076922,0.33076923076923076,8.211538461538462,1.5288461538461537
2010-02,Idaho,2010,10.016654464285715,23.428571428571427,14.357142857142858,22.035714285714285,0.01983332142857143,0.030071428571428572,10.071428571428571,25.464285714285715,0.039520767857142855,0.16428571428571428,13.535714285714286,0,0.20342258928571427,0.36607142857142855,10.285714285714286,1.7142857142857142
2010-03,Idaho,2010,8.507203838709678,26.225806451612904,13.258064516129032,24.741935483870968,0.029538967741935485,0.04164516129032258,10.96774193548387,35.225806451612904,0.04762066129032258,0.18870967741935485,12.080645161290322,0.016129032258064516,0.17455854838709678,0.3096774193548387,7.758064516129032,1.403225806451613
2010-04,Idaho,2010,7.723339366666667,26.666666666666668,12.833333333333334,25.233333333333334,0.03133336666666667,0.0445,10.733333333333333,37.833333333333336,0.17011515,0.63,12.483333333333333,0.15,0.17361106666666667,0.3016666666666667,7.383333333333334,1.2666666666666666
2010-05,Idaho,2010,5.070625548387096,19.29032258064516,14.32258064516129,18.161290322580644,0.032535,0.04487096774193548,10.709677419354838,38,0.20064732258064516,0.6,12.338709677419354,0.1774193548387097,0.13376153225806453,0.22903225806451613,7.693548387096774,0.8870967741935484
2010-06,Idaho,2010,5.5451032,19.1,12.1,18,0.030755566666666668,0.04416666666666667,11.1,37.46666666666667,0.28242538333333334,0.715,9.833333333333334,0.2833333333333333,0.12616543333333333,0.20500000000000002,5.4,0.85
2010-07,Idaho,2010,7.196307193548387,25.516129032258064,15.064516129032258,24.161290322580644,0.03380638709677419,0.05119354838709678,10.806451612903226,45.38709677419355,0.40180240322580646,0.8790322580645161,12.225806451612904,0.3548387096774194,0.13555106451612903,0.26129032258064516,9.03225806451613,1.032258064516129
2010-08,Idaho,2010,8.464576,30.06451612903226,13.516129032258064,28.35483870967742,0.03446367741935484,0.05338709677419355,10.774193548387096,47.45161290322581,0.5365319838709678,1.032258064516129,12.46774193548387,0.43548387096774194,0.15483870967741936,0.3193548387096774,8.596774193548388,1.2419354838709677
2010-09,Idaho,2010,11.047008133333334,30.733333333333334,16.666666666666668,29.033333333333335,0.025493066666666668,0.043833333333333335,10.4,37.1,0.6848782333333333,1.26,15.166666666666666,0.5833333333333334,0.17444448333333334,0.36,9.833333333333334,1.4
2010-10,Idaho,2010,13.062003290322581,29.35483870967742,17.29032258064516,27.774193548387096,0.02096458064516129,0.03583870967741935,10.838709677419354,30.451612903225808,0.6946804516129033,1.3790322580645162,13.838709677419354,0.7580645161290323,0.21384408064516128,0.4129032258064516,8.887096774193548,1.8387096774193548
2010-11,Idaho,2010,10.927657033333332,24.666666666666668,13.7,23.2,0.020263833333333335,0.029333333333333333,11.033333333333333,24.933333333333334,0.4009469333333333,0.975,12.666666666666666,0.4666666666666667,0.2181282,0.3983333333333333,8.95,1.9
2010-12,Idaho,2010,14.956914129032258,28.096774193548388,11.67741935483871,26.451612903225808,0.017867645161290323,0.025903225806451612,10.451612903225806,22.032258064516128,0.31168267741935485,1.2661290322580645,10.17741935483871,0.8387096774193549,0.25580532258064514,0.45,11.129032258064516,2.3225806451612905
2011-01,Idaho,2011,9.971031045454545,18.027272727272727,12.181818181818182,16.545454545454547,0.012875181818181819,0.02409090909090909,10.136363636363637,20.454545454545453,0.7271129318181818,1.75,12.340909090909092,1,0.275376,0.49977272727272726,10,2.409090909090909
2011-02,Idaho,2011,8.927273,27,7,25,0.015714,0.037,10,31,0.4546585,1.55,23,0.5,0.2048915,0.55,23,2.5
