Month_Yr,State,Year,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-01,Wisconsin,2006,16.060894793103447,25.586206896551722,11.551724137931034,24.06896551724138,0.011965862068965518,0.018586206896551723,11.137931034482758,15.724137931034482,2.8769054137931036,5.720689655172413,8.448275862068966,4.724137931034483,0.36674810344827585,0.6844827586206896,6.103448275862069,3.1724137931034484
2006-02,Wisconsin,2006,17.131740535714286,28.964285714285715,11.214285714285714,27.285714285714285,0.020782714285714286,0.027535714285714285,9.25,23.392857142857142,2.2548363214285714,3.2660714285714287,4.571428571428571,2.625,0.339387125,0.4517857142857143,5.75,2.3392857142857144
2006-03,Wisconsin,2006,16.42799822580645,35.29032258064516,12.741935483870968,33.29032258064516,0.025916645161290323,0.03612903225806452,10.290322580645162,30.580645161290324,2.4912442903225807,4.346774193548387,7.290322580645161,3.5483870967741935,0.39042624193548386,0.7161290322580645,8.935483870967742,3.403225806451613
2006-04,Wisconsin,2006,13.018828533333334,27.866666666666667,11.9,26.233333333333334,0.0340028,0.04343333333333333,11.3,36.766666666666666,2.4642063666666667,4.0633333333333335,4.9,3.3666666666666667,0.31902151666666667,0.44666666666666666,5.1,2.05
2006-05,Wisconsin,2006,14.318819354838709,28.774193548387096,14.129032258064516,27.161290322580644,0.02790183870967742,0.04009677419354839,9.96774193548387,34.58064516129032,2.7660029677419353,5.864516129032258,9.096774193548388,4.82258064516129,0.3615845806451613,0.603225806451613,7.67741935483871,2.838709677419355
2006-06,Wisconsin,2006,12.544135333333333,28.033333333333335,12.1,26.5,0.0331042,0.046,10.466666666666667,40.733333333333334,2.4997222166666666,5.423333333333334,5.716666666666667,4.733333333333333,0.3748623833333333,0.665,6.2,3
2006-07,Wisconsin,2006,11.982640967741936,25.032258064516128,12.483870967741936,23.612903225806452,0.035481129032258064,0.049,10.096774193548388,43.29032258064516,2.2554435806451614,4.361290322580645,6.612903225806452,3.7096774193548385,0.3182796129032258,0.4274193548387097,4.725806451612903,2.129032258064516
2006-08,Wisconsin,2006,10.353004882352941,22.941176470588236,11.705882352941176,21.823529411764707,0.033411823529411765,0.046764705882352944,9.941176470588236,41.88235294117647,2.624126411764706,5.776470588235294,8.588235294117647,5,0.3437500294117647,0.538235294117647,3.8529411764705883,2.3529411764705883
2006-09,Wisconsin,2006,12.9628352,24.1,11.3,22.7,0.0203838,0.030633333333333332,9.6,25.966666666666665,2.5496646833333334,4.876666666666667,5.683333333333334,4.083333333333333,0.37900083333333334,0.625,7.066666666666666,3.0166666666666666
2006-10,Wisconsin,2006,13.265243193548388,27.161290322580644,12.32258064516129,25.64516129032258,0.01732306451612903,0.025258064516129032,10.387096774193548,21.387096774193548,2.62830514516129,5.566129032258065,6.532258064516129,4.548387096774194,0.3698378064516129,0.7,6.532258064516129,3.1451612903225805
2006-11,Wisconsin,2006,18.873996068965518,28.82758620689655,13.689655172413794,27.24137931034483,0.009891275862068966,0.01675862068965517,10.413793103448276,14.241379310344827,3.602377603448276,7.113793103448276,8.189655172413794,5.655172413793103,0.3518833965517241,0.5310344827586206,8.379310344827585,2.5344827586206895
2006-12,Wisconsin,2006,18.641716806451612,27.741935483870968,12.03225806451613,26.258064516129032,0.010276774193548386,0.016096774193548387,10.580645161290322,13.580645161290322,2.5261302741935485,4.608064516129033,6.612903225806452,3.8548387096774195,0.3236915,0.47096774193548385,5.935483870967742,2.129032258064516
2007-01,Wisconsin,2007,17.253054774193547,27.967741935483872,13.290322580645162,26.322580645161292,0.01514241935483871,0.021612903225806453,10.903225806451612,18.35483870967742,2.4937418225806454,4.25,4.370967741935484,3.5161290322580645,0.31483754838709677,0.3967741935483871,4.17741935483871,1.8870967741935485
