Month_Yr,State,Year,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-03,Michigan,2000,34.708333,60,21,57,0.002,0.002,22,2,4.9020835,21.15,19.5,17,0.93125,3.3,20,12
2000-04,Michigan,2000,23.901288315789472,42.12280701754386,14.070175438596491,39.73684210526316,0.019417526315789472,0.03166666666666667,11.228070175438596,26.859649122807017,5.93470853508772,20.604385964912282,12.5,16.05263157894737,0.2951142807017544,1.0912280701754387,9.578947368421053,4.824561403508772
2000-05,Michigan,2000,23.124504806451615,40.935483870967744,14.548387096774194,38.806451612903224,0.02428222580645161,0.03896774193548387,11.483870967741936,33.03225806451613,4.913508032258065,18.401612903225807,10.661290322580646,14.935483870967742,0.20357593548387096,0.6258064516129033,7.145161290322581,2.403225806451613
2000-06,Michigan,2000,19.461432733333332,37.56666666666667,12.166666666666666,35.5,0.028806466666666666,0.045366666666666666,11.1,43.03333333333333,5.7146149,20.821666666666665,11.016666666666667,16.983333333333334,0.17824118333333333,0.5816666666666667,7.883333333333334,2.283333333333333
2000-07,Michigan,2000,18.928680548387096,38.67741935483871,11.903225806451612,36.516129032258064,0.02871167741935484,0.047129032258064515,10.516129032258064,42.774193548387096,4.002859258064516,15.056451612903226,13.209677419354838,12.725806451612904,0.24191170967741935,0.7419354838709677,8.370967741935484,3.193548387096774
2000-08,Michigan,2000,27.576756351851852,51.5,11.851851851851851,49.22222222222222,0.02307137037037037,0.04238888888888889,11.5,37.351851851851855,4.348639203703704,16.216666666666665,13.462962962962964,12.694444444444445,0.3806665,0.95,7.518518518518518,4.185185185185185
2000-09,Michigan,2000,23.1097223,38.766666666666666,14.2,36.7,0.0160892,0.0284,10.466666666666667,24,7.577399066666667,25.996666666666666,9.733333333333333,18.816666666666666,0.35557893333333335,0.835,9.8,3.55
2001-03,Michigan,2001,28.5,40,10,38,0.026,0.026,22,22,4.48125,6.8,10,5,0.5956520000000001,0.9,12,4.5
2001-04,Michigan,2001,30.8333334,58.4,10.4,55.8,0.026175,0.0438,11,37,9.735,39.82,11.7,28.4,0.2187121,0.78,9,3.2
2001-05,Michigan,2001,25.737852032258065,48.16129032258065,11.870967741935484,45.74193548387097,0.026136709677419354,0.04419354838709677,10.548387096774194,38.96774193548387,4.875067177419354,14.696774193548388,12.161290322580646,12.338709677419354,0.35581745161290323,0.9096774193548387,9.612903225806452,3.7096774193548385
2001-06,Michigan,2001,25.3447222,49.333333333333336,12.533333333333333,46.96666666666667,0.03385546666666667,0.05616666666666666,11.366666666666667,63.4,7.014533716666667,23.303333333333335,11.983333333333333,18.9,0.48236605,1.1,10.016666666666667,4.816666666666666
2001-07,Michigan,2001,17.619431806451612,38.25806451612903,10.258064516129032,36.225806451612904,0.03513225806451613,0.056935483870967744,9.96774193548387,62.12903225806452,4.611703193548387,19.75,12.435483870967742,14.758064516129032,0.3618606129032258,0.7790322580645161,8.85483870967742,3.370967741935484
2001-08,Michigan,2001,24.413573315789474,45.1578947368421,14,42.8421052631579,0.025268894736842105,0.0438421052631579,11.052631578947368,38.10526315789474,5.2115857105263155,21.178947368421053,13.052631578947368,16.94736842105263,0.3463118157894737,0.8973684210526316,9.736842105263158,3.710526315789474
2001-09,Michigan,2001,19.923318766666668,36.43333333333333,12.466666666666667,34.4,0.019131333333333334,0.034,10.1,29.266666666666666,4.53419225,16.686666666666667,11.35,13.166666666666666,0.4433937333333333,1.0966666666666667,9.383333333333333,4.766666666666667
2002-03,Michigan,2002,20.708333500000002,41,4,38.5,0.020499999999999997,0.020999999999999998,22.5,17.5,4.859375,13.75,16.25,11.25,0.46979175,1.325,2.75,5.75
2002-04,Michigan,2002,18.577625583333333,34.916666666666664,12.816666666666666,32.95,0.025238916666666666,0.036533333333333334,10.983333333333333,30.983333333333334,3.321400025,10.015833333333333,10.658333333333333,8.133333333333333,0.32679469166666664,0.6058333333333333,8.233333333333333,2.8583333333333334
2002-05,Michigan,2002,17.73713948387097,36.354838709677416,12.483870967741936,34.274193548387096,0.02632783870967742,0.039080645161290326,10.451612903225806,33.79032258064516,3.3638628467741936,11.42016129032258,9.959677419354838,9.088709677419354,0.3307229758064516,0.660483870967742,9.120967741935484,3.0806451612903225
2002-06,Michigan,2002,16.81921981355932,43.30508474576271,11.067796610169491,39.49152542372882,0.0333573220338983,0.054050847457627116,11.220338983050848,61.79661016949152,3.5641096525423728,12.701694915254237,11.830508474576272,9.915254237288135,0.37070021186440677,0.7406779661016949,8.271186440677965,3.389830508474576
2002-07,Michigan,2002,17.048882,35.65,11.016666666666667,33.7,0.03387015,0.054516666666666665,11.416666666666666,56.71666666666667,2.5218346416666666,8.779166666666667,11.9,7.325,0.3410169416666667,0.6441666666666667,7.883333333333334,3.1333333333333333
2002-08,Michigan,2002,17.51816271698113,35.22641509433962,13.132075471698114,33.35849056603774,0.029036981132075472,0.04767924528301887,10.226415094339623,47.113207547169814,2.742242509433962,9.090566037735849,11.481132075471699,7.60377358490566,0.3905377264150943,0.7584905660377359,9.679245283018869,3.5283018867924527
2002-09,Michigan,2002,21.313797245614033,40.56140350877193,12.789473684210526,38.59649122807018,0.023641315789473684,0.04371929824561403,10.56140350877193,43.31578947368421,4.8411070350877194,15.878070175438596,12.017543859649123,13.24561403508772,0.4437592105263158,0.9491228070175438,10.008771929824562,4.105263157894737
