Month_Yr,State,Year,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2002-03,New Hampshire,2002,15.041667,35,0,33,0.037,0.037,22,31,2.5333335,7.3,8,5.5,0.264583,0.7,1,3
2002-04,New Hampshire,2002,11.479770566666666,25.266666666666666,12.2,23.8,0.029824966666666668,0.039933333333333335,8.966666666666667,33.8,1.2848269666666667,6.315,8.616666666666667,5.966666666666667,0.22907911666666667,0.6066666666666667,7.8,2.6166666666666667
2002-05,New Hampshire,2002,10.940182258064516,24.096774193548388,11.935483870967742,22.774193548387096,0.032893451612903225,0.04590322580645161,9.903225806451612,40.064516129032256,0.7713987580645161,4.017741935483871,8.435483870967742,3.596774193548387,0.1771423387096774,0.4,8.596774193548388,1.6774193548387097
2002-06,New Hampshire,2002,10.0151275,20.4,12.166666666666666,19.4,0.033197366666666665,0.045766666666666664,9.633333333333333,42.53333333333333,0.6277006,3.861666666666667,6.866666666666666,3.3833333333333333,0.22200396666666666,0.43166666666666664,10.733333333333333,1.95
2002-07,New Hampshire,2002,8.869798870967742,18.548387096774192,12.290322580645162,17.483870967741936,0.03179974193548387,0.04567741935483871,10,43.483870967741936,0.5439470483870967,2.7548387096774194,6.17741935483871,2.467741935483871,0.31273082258064516,0.4903225806451613,8.080645161290322,2.596774193548387
2002-08,New Hampshire,2002,8.53853864516129,20.774193548387096,13.806451612903226,19.580645161290324,0.030870290322580644,0.04858064516129032,9.96774193548387,51.354838709677416,1.1519519838709678,4.616129032258065,8.451612903225806,4.338709677419355,0.3914557419354839,0.6064516129032258,8.370967741935484,3.064516129032258
2002-09,New Hampshire,2002,9.978170433333334,21.466666666666665,15.166666666666666,20.233333333333334,0.024480166666666667,0.039933333333333335,10.2,35.36666666666667,2.2652997333333333,6.4,9.783333333333333,5.483333333333333,0.3437529833333333,0.5516666666666666,8.7,2.8
2003-03,New Hampshire,2003,2.608696,7,18,7,0.027,0.027,22,23,0.0431675,0.65,22,0.5,0.2869565,0.35,4,1.5
2003-04,New Hampshire,2003,11.611382916666667,24.416666666666668,10.875,22.958333333333332,0.0347905,0.044833333333333336,9.916666666666666,39.208333333333336,2.8270492708333332,9.239583333333334,9.333333333333334,8.041666666666666,0.3700547708333333,0.61875,6.958333333333333,2.7916666666666665
2003-05,New Hampshire,2003,9.504663387096775,21.548387096774192,13.483870967741936,20.451612903225808,0.027481225806451612,0.03980645161290323,9,33.806451612903224,1.3945180322580646,5.679032258064516,10.161290322580646,5.032258064516129,0.41221654838709676,0.6016129032258064,8.67741935483871,3.0806451612903225
2003-06,New Hampshire,2003,9.789372,23.166666666666668,13.733333333333333,21.8,0.031948533333333334,0.047433333333333334,8.7,45.1,1.0920525166666666,5.931666666666667,11.6,5.333333333333333,0.24811671666666668,0.4216666666666667,7.533333333333333,2.1333333333333333
2003-07,New Hampshire,2003,8.537676096774193,16.322580645161292,10.451612903225806,15.32258064516129,0.03379845161290323,0.048483870967741934,9.64516129032258,42.70967741935484,0.647066064516129,2.7758064516129033,8.806451612903226,2.435483870967742,0.2527788064516129,0.38548387096774195,7.516129032258065,1.9516129032258065
2003-08,New Hampshire,2003,7.846964258064516,15.741935483870968,12.806451612903226,14.774193548387096,0.02666158064516129,0.04051612903225806,9.419354838709678,34.61290322580645,1.199458387096774,4.035483870967742,6.983870967741935,3.3548387096774195,0.48190391935483873,0.7758064516129032,8.016129032258064,3.935483870967742
2003-09,New Hampshire,2003,9.7137835,18.076923076923077,11.5,17,0.018881576923076925,0.03169230769230769,9.192307692307692,26.96153846153846,1.1209667884615384,5.042307692307692,9.846153846153847,4.596153846153846,0.24614473076923077,0.4288461538461538,5.923076923076923,2.1153846153846154
2004-03,New Hampshire,2004,14.958333,27,11,25,0.034,0.034,22,29,6.1854165,10.3,19,8,0.0166665,0.15000000000000002,17,0.5
