Month_Yr,State,Year,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2008-01,North Dakota,2008,9.039170483870969,23.548387096774192,13.096774193548388,22.129032258064516,0.021071548387096774,0.027870967741935485,11.548387096774194,23.580645161290324,0.2799576129032258,0.7935483870967742,11.225806451612904,0.3548387096774194,0.2204691129032258,0.3177741935483871,10.209677419354838,1.532258064516129
2008-02,North Dakota,2008,11.180555533333333,26.8,17,25.333333333333332,0.025540733333333333,0.0328,11,27.8,0.23671536666666668,0.5533333333333333,11.433333333333334,0.13333333333333333,0.22728826666666666,0.3176333333333333,12.366666666666667,1.5333333333333334
2008-03,North Dakota,2008,6.250820419354839,17.838709677419356,10.483870967741936,16.903225806451612,0.03261151612903226,0.03919354838709677,10.483870967741936,33.16129032258065,0.14640590322580646,0.47419354838709676,9.838709677419354,0.12903225806451613,0.21128485483870968,0.25062903225806454,8.629032258064516,1.1612903225806452
2008-04,North Dakota,2008,5.909101733333333,16.833333333333332,12.3,15.8,0.0343258,0.046066666666666665,11.233333333333333,39.03333333333333,0.07130138333333333,0.33666666666666667,9.116666666666667,0.08333333333333333,0.2025991,0.2485,6.883333333333334,1.1166666666666667
2008-05,North Dakota,2008,4.630254161290322,12.064516129032258,13.806451612903226,11.419354838709678,0.030975741935483872,0.043548387096774194,11.129032258064516,36.903225806451616,0.09911585483870967,0.4145161290322581,8.709677419354838,0.1774193548387097,0.18175090322580645,0.20769354838709678,6.903225806451613,1
2008-06,North Dakota,2008,3.3628181666666666,10.633333333333333,10.733333333333333,10.1,0.029578899999999998,0.03986666666666667,9.933333333333334,33.8,0.05154491666666667,0.20833333333333334,8.266666666666667,0.016666666666666666,0.1591035,0.213,7.583333333333333,0.9833333333333333
2008-07,North Dakota,2008,3.403861258064516,11.193548387096774,11.225806451612904,10.483870967741936,0.025654096774193547,0.03741935483870968,10.225806451612904,31.806451612903224,0.035183629032258065,0.1903225806451613,6.645161290322581,0,0.1570837258064516,0.21746774193548388,8.741935483870968,1.032258064516129
2008-08,North Dakota,2008,3.2946027096774193,9.935483870967742,11.096774193548388,9.419354838709678,0.023762645161290324,0.03496774193548387,10.064516129032258,29.612903225806452,0.07122177419354839,0.27741935483870966,10.612903225806452,0.03225806451612903,0.13070217741935483,0.18266129032258066,9.096774193548388,0.8064516129032258
2008-09,North Dakota,2008,3.3114429666666667,9.9,12.666666666666666,9.366666666666667,0.020140733333333334,0.030033333333333335,10.366666666666667,25.366666666666667,0.15541486666666668,0.46,10.05,0.13333333333333333,0.13633508333333333,0.18956666666666666,8.3,0.85
2008-10,North Dakota,2008,5.170122935483871,14.35483870967742,12.35483870967742,13.580645161290322,0.017230193548387097,0.025096774193548388,8.741935483870968,21.258064516129032,0.29223309677419357,0.7741935483870968,9.870967741935484,0.3709677419354839,0.13831909677419355,0.2104193548387097,10.016129032258064,0.9032258064516129
2008-11,North Dakota,2008,5.604163,14.1,11.7,13.366666666666667,0.016016666666666665,0.023233333333333335,11.566666666666666,19.6,0.31626265,0.8933333333333333,9.883333333333333,0.5166666666666667,0.17918406666666667,0.37316666666666665,10.016666666666667,1.3666666666666667
2008-12,North Dakota,2008,6.1584366363636365,16.636363636363637,11.090909090909092,15.681818181818182,0.02009459090909091,0.024863636363636366,10.272727272727273,21.09090909090909,0.7302206363636363,1.3909090909090909,10.227272727272727,0.7045454545454546,0.15659047727272726,0.2149318181818182,10.522727272727273,0.9772727272727273
2009-01,North Dakota,2009,10.078703666666666,26.333333333333332,12.74074074074074,24.814814814814813,0.025598222222222224,0.031148148148148147,10.925925925925926,26.333333333333332,1.1474349074074075,2.5148148148148146,12.87037037037037,1.6481481481481481,0.19186724074074074,0.3022962962962963,9,1.3518518518518519
2009-02,North Dakota,2009,6.251317928571429,16.571428571428573,11.607142857142858,15.714285714285714,0.02822507142857143,0.03396428571428572,10.678571428571429,28.75,0.4476478392857143,1.0375,12.232142857142858,0.4642857142857143,0.19879021428571428,0.24907142857142858,7.625,1.1428571428571428
2009-03,North Dakota,2009,6.338102225806452,16.548387096774192,12.064516129032258,15.451612903225806,0.034292032258064514,0.04051612903225806,10,34.41935483870968,0.31557251612903225,0.9016129032258065,10.435483870967742,0.5161290322580645,0.21041706451612904,0.2613548387096774,8.887096774193548,1.3225806451612903
2009-04,North Dakota,2009,3.4218253666666665,10.433333333333334,9.4,9.866666666666667,0.036501,0.044366666666666665,9.633333333333333,37.56666666666667,0.1131001,0.5116666666666667,11.4,0.26666666666666666,0.19449465,0.22938333333333333,5.816666666666666,1.1
2009-05,North Dakota,2009,3.7362850322580643,11.935483870967742,13.870967741935484,11.258064516129032,0.030346806451612904,0.042225806451612904,10.741935483870968,35.74193548387097,0.125927,0.4967741935483871,11.370967741935484,0.14516129032258066,0.18182467741935485,0.22062903225806452,6.790322580645161,1.032258064516129
2009-06,North Dakota,2009,4.147959833333333,12.433333333333334,14.166666666666666,11.766666666666667,0.0312871,0.044066666666666664,10.433333333333334,37.333333333333336,0.07644429999999999,0.3666666666666667,10.083333333333334,0.06666666666666667,0.1451448,0.18366666666666667,7.783333333333333,0.85
